itemNo,item,correct,type
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
15,savoury,1,word
16,plaudate,0,nonword
17,shin,1,word
18,fluid,1,word
19,spaunch,0,nonword
20,allied,1,word
21,slain,1,word
22,recipient,1,word
23,exprate,0,nonword
24,eloquence,1,word
25,cleanliness,1,word
26,dispatch,1,word
27,rebondicate,0,nonword
28,ingenious,1,word
29,bewitch,1,word
30,skave,0,nonword
31,plaintively,1,word
32,kilp,0,nonword
33,interfate,0,nonword
34,hasty,1,word
35,lengthy,1,word
36,fray,1,word
37,crumper,0,nonword
38,upkeep,1,word
39,majestic,1,word
40,magrity,0,nonword
41,0urishment,1,word
42,abergy,0,nonword
43,proom,0,nonword
44,turmoil,1,word
45,carbohydrate,1,word
46,scholar,1,word
47,turtle,1,word
48,fellick,0,nonword
49,destription,0,nonword
50,cylinder,1,word
51,censorship,1,word
52,celestial,1,word
53,rascal,1,word
54,purrage,0,nonword
55,pulsh,0,nonword
56,muddy,1,word
57,quirty,0,nonword
58,pudour,0,nonword
59,listless,1,word
60,wrought,1,word
1,mensible,0,nonword
2,scornful,1,word
3,stoutly,1,word
4,ablaze,1,word
5,kermshaw,0,nonword
6,moonlit,1,word
7,lofty,1,word
8,hurricane,1,word
9,flaw,1,word
10,alberation,0,nonword
11,unkempt,1,word
12,breeding,1,word
13,festivity,1,word
14,screech,1,word
